Mem: 1310848K used, 687168K free, 94592K shrd, 18752K buff, 328128K cached
CPU:  44% usr  22% sys   0% nic  29% idle   0% io   3% irq   0% sirq
Load average: 8.46 3.08 1.11 19/803 15162
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  257     2 root     IW       0   0%   0% [kworker/0:4]
  261     2 root     IW<      0   0%   0% [pvr_timer]
  262     2 root     SWN      0   0%   0% [pvr_defer_free]
  263     2 root     SW       0   0%   0% [pvr_device_wdg]
  264     2 root     SW<      0   0%   0% [pvr_cacheop]
  265     2 root     IW<      0   0%   0% [pvr_fce_status]
  268     2 root     IW       0   0%   0% [kworker/1:5-mm_]
  273     2 root     SW       0   0%   0% [irq/575-6000000]
  349     2 root     IW<      0   0%   0% [ipv6_addrconf]
  351     2 root     SW       0   0%   0% [jbd2/mmcblk0p7-]
  352     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  367     2 root     SW       0   0%   0% [jbd2/mmcblk0p8-]
  368     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  370     2 root     SW       0   0%   0% [jbd2/mmcblk0p9-]
  371     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  377     2 root     SW       0   0%   0% [jbd2/mmcblk0p10]
  378     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  380     2 root     SW       0   0%   0% [jbd2/mmcblk0p11]
  381     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  383     2 root     SW       0   0%   0% [jbd2/mmcblk0p12]
  384     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  386     2 root     SW       0   0%   0% [jbd2/mmcblk0p13]
  387     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  395     2 root     SW       0   0%   0% [jbd2/mmcblk0p14]
  396     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  398     2 root     SW       0   0%   0% [jbd2/mmcblk0p15]
  399     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  401     2 root     SW       0   0%   0% [jbd2/mmcblk0p16]
  402     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  404     2 root     SW       0   0%   0% [jbd2/mmcblk0p17]
  405     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  407     2 root     SW       0   0%   0% [jbd2/mmcblk0p18]
  408     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  410     2 root     SW       0   0%   0% [jbd2/mmcblk0p19]
  411     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  417     2 root     SW       0   0%   0% [jbd2/mmcblk0p20]
  418     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  420     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  421     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  423     2 root     SW       0   0%   0% [jbd2/mmcblk0p22]
  424     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  426     2 root     SW       0   0%   0% [jbd2/mmcblk0p23]
  427     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  429     2 root     SW       0   0%   0% [jbd2/mmcblk0p26]
  430     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  560     2 root     IW<      0   0%   0% [kworker/1:2H]
  627     2 root     IW<      0   0%   0% [pvr_misr]
  628     2 root     IW<      0   0%   0% [pvr_misr]
  881     2 root     IW<      0   0%   0% [kworker/0:2H-kb]
 1997     2 root     IW       0   0%   0% [kworker/u4:3-ev]
 2117     2 root     IW       0   0%   0% [kworker/u4:4-ev]
Mem: 1310848K used, 687168K free, 94592K shrd, 18752K buff, 328192K cached
CPU:  44% usr  20% sys   0% nic  30% idle   0% io   4% irq   0% sirq
Load average: 8.46 3.08 1.11 5/803 15278
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1243  1226 root     S    1686m  86%  22% TDA4_A72_met_adas.out
  970     1 root     S    1156m  59%   6% ./TDA4_A72_Adapter.out
  432   254 root     S    2203m 112%   5% /lib/firmware/TDA4_A72_demo_gac_a09.out
  558     1 root     S    1980m 101%   3% ./mv_avm
 1242  1226 root     S    1031m  52%   3% TDA4_A72_met_vehinfo.out
 1240  1226 root     S    20224   1%   3% perception
 1239  1226 root     S     298m  15%   2% Fusion
  879     1 root     S    1651m  84%   2% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
  724     1 root     S    1425m  72%   2% ./mv_plan
  807     1 root     S    1309m  66%   2% ./mv_fusion
  644     1 root     S    1598m  81%   1% ./mv_decision
  965     1 root     S    1100m  56%   1% ./mv_calib
  969     1 root     S     810m  41%   1% ./TDA4_A72_gac_raeb_09.out
  440     1 root     R     408m  21%   1% ./fas_someipd
 1669     1 root     S     369m  19%   1% ./met_hmi_service
    5     2 root     IW       0   0%   1% [kworker/0:0-eve]
  551     1 root     S     198m  10%   0% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
 1230  1226 root     S    74240   4%   0% RM 0
 1236  1226 root     S    18624   1%   0% COR
 1231  1226 root     S    18496   1%   0% GO
15142  1655 root     R     3456   0%   0% top -b -d 1
 1234  1226 root     S    45120   2%   0% calibration
 1226     1 root     S    27328   1%   0% ./met_ipc_master.out
 1235  1226 root     S    20480   1%   0% LSR
 1237  1226 root     S    19584   1%   0% ST
 1229  1226 root     S    19328   1%   0% met_adas_init.out
 1232  1226 root     S    18304   1%   0% TLR
 1233  1226 root     S    18304   1%   0% TSR
 1238  1226 root     R    18112   1%   0% VSE
